date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:12	109119/109119	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2002:11:56%20GMT	https://azim.commonsupport.com/Clasifico/index-2.html	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/index-2.html	(from )
17:53:13	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jul%202024%2012:23:11%20GMT	https://azim.commonsupport.com/robots.txt		(from )
17:53:13	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2003%20Nov%202020%2015:47:24%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/favicon.ico	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/favicon.ico	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:14	2087/2087	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Nov%202020%2016:13:26%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/flaticon.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/flaticon.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:14	99365/99365	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Oct%202020%2021:36:18%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/font-awesome-all.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/font-awesome-all.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:14	5687/5687	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202019%2000:49:16%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/owl.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/owl.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:15	13735/13735	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Nov%202018%2015:52:20%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/jquery.fancybox.min.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/jquery.fancybox.min.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:16	197170/197170	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Nov%202019%2015:31:20%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/bootstrap.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/bootstrap.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:17	86869/86869	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Oct%202020%2013:51:24%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/animate.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/animate.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:17	4007/4007	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Dec%202019%2021:23:08%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/nice-select.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/nice-select.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:17	12530/12530	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Nov%202020%2001:17:52%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/color.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/color.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:18	16205/16205	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Nov%202020%2003:52:36%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/responsive.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/responsive.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:18	141072/141072	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Nov%202020%2003:42:14%20GMT	https://azim.commonsupport.com/Clasifico/assets/css/style.css	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/css/style.css	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:19	133413/133413	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2002:09:48%20GMT	https://azim.commonsupport.com/Clasifico/index.html	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/index.html	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:19	4376/4376	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Nov%202020%2016:02:50%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/logo-2.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/logo-2.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:20	81015/81015	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2000:23:10%20GMT	https://azim.commonsupport.com/Clasifico/index-3.html	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/index-3.html	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:20	98114/98114	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2000:27:50%20GMT	https://azim.commonsupport.com/Clasifico/index-4.html	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/index-4.html	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:20	95964/95964	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2000:28:10%20GMT	https://azim.commonsupport.com/Clasifico/index-5.html	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/index-5.html	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:20	99853/99853	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2000:34:08%20GMT	https://azim.commonsupport.com/Clasifico/index-6.html	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/index-6.html	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:21	127009/127009	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Nov%202020%2001:45:04%20GMT	https://azim.commonsupport.com/Clasifico/index-onepage.html	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/index-onepage.html	(from https://azim.commonsupport.com/Clasifico/index-2.html)
